ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2019,"2019",4,"Asian",58530,12092,"Census Tract 1, King County, WA","14000US53033000100"
2019,"2019",4,"Asian",104375,58018,"Census Tract 2, King County, WA","14000US53033000200"
2019,"2019",4,"Asian",75114,65429,"Census Tract 3, King County, WA","14000US53033000300"
2019,"2019",4,"Asian",44050,14919,"Census Tract 4.01, King County, WA","14000US53033000401"
2019,"2019",4,"Asian",123304,93614,"Census Tract 4.02, King County, WA","14000US53033000402"
2019,"2019",4,"Asian",88897,45253,"Census Tract 6, King County, WA","14000US53033000600"
2019,"2019",4,"Asian",60726,22947,"Census Tract 7, King County, WA","14000US53033000700"
2019,"2019",4,"Asian",225625,98521,"Census Tract 9, King County, WA","14000US53033000900"
2019,"2019",4,"Asian",118125,54762.00000000001,"Census Tract 10, King County, WA","14000US53033001000"
2019,"2019",4,"Asian",81738,40399,"Census Tract 11, King County, WA","14000US53033001100"
2019,"2019",4,"Asian",54726,12872,"Census Tract 12, King County, WA","14000US53033001200"
2019,"2019",4,"Asian",53542,46194,"Census Tract 13, King County, WA","14000US53033001300"
2019,"2019",4,"Asian",122292,99140,"Census Tract 15, King County, WA","14000US53033001500"
2019,"2019",4,"Asian",191250,101759,"Census Tract 16, King County, WA","14000US53033001600"
2019,"2019",4,"Asian",80132,16957,"Census Tract 17.01, King County, WA","14000US53033001701"
2019,"2019",4,"Asian",70981,18612,"Census Tract 17.02, King County, WA","14000US53033001702"
2019,"2019",4,"Asian",96618,14333.999999999998,"Census Tract 18, King County, WA","14000US53033001800"
2019,"2019",4,"Asian",63750,20694,"Census Tract 19, King County, WA","14000US53033001900"
2019,"2019",4,"Asian",193967,47188,"Census Tract 20, King County, WA","14000US53033002000"
2019,"2019",4,"Asian",100521,44507,"Census Tract 21, King County, WA","14000US53033002100"
2019,"2019",4,"Asian",140114,123856,"Census Tract 22, King County, WA","14000US53033002200"
2019,"2019",4,"Asian",132829,53701,"Census Tract 24, King County, WA","14000US53033002400"
2019,"2019",4,"Asian",140865,91984,"Census Tract 25, King County, WA","14000US53033002500"
2019,"2019",4,"Asian",117614,57908,"Census Tract 26, King County, WA","14000US53033002600"
2019,"2019",4,"Asian",250001,,"Census Tract 27, King County, WA","14000US53033002700"
2019,"2019",4,"Asian",84522,57933.99999999999,"Census Tract 28, King County, WA","14000US53033002800"
2019,"2019",4,"Asian",174612,168655,"Census Tract 29, King County, WA","14000US53033002900"
2019,"2019",4,"Asian",188177,121649,"Census Tract 32, King County, WA","14000US53033003200"
2019,"2019",4,"Asian",104125,76847,"Census Tract 34, King County, WA","14000US53033003400"
2019,"2019",4,"Asian",124943,89437,"Census Tract 35, King County, WA","14000US53033003500"
2019,"2019",4,"Asian",91667,32190,"Census Tract 36, King County, WA","14000US53033003600"
2019,"2019",4,"Asian",85781,53660,"Census Tract 38, King County, WA","14000US53033003800"
2019,"2019",4,"Asian",89750,48269,"Census Tract 39, King County, WA","14000US53033003900"
2019,"2019",4,"Asian",50417,41062,"Census Tract 40, King County, WA","14000US53033004000"
2019,"2019",4,"Asian",121319,29594.000000000004,"Census Tract 42, King County, WA","14000US53033004200"
2019,"2019",4,"Asian",46719,34708,"Census Tract 43.01, King County, WA","14000US53033004301"
2019,"2019",4,"Asian",30491,25183,"Census Tract 43.02, King County, WA","14000US53033004302"
2019,"2019",4,"Asian",112625,57893.99999999999,"Census Tract 46, King County, WA","14000US53033004600"
2019,"2019",4,"Asian",121583,36976,"Census Tract 47, King County, WA","14000US53033004700"
2019,"2019",4,"Asian",136528,51889,"Census Tract 48, King County, WA","14000US53033004800"
2019,"2019",4,"Asian",132286,52678,"Census Tract 49, King County, WA","14000US53033004900"
2019,"2019",4,"Asian",129808,42811,"Census Tract 50, King County, WA","14000US53033005000"
2019,"2019",4,"Asian",38636,23972,"Census Tract 52, King County, WA","14000US53033005200"
2019,"2019",4,"Asian",17841,15292,"Census Tract 53.01, King County, WA","14000US53033005301"
2019,"2019",4,"Asian",2989,1731.9999999999998,"Census Tract 53.02, King County, WA","14000US53033005302"
2019,"2019",4,"Asian",71821,54769.00000000001,"Census Tract 54, King County, WA","14000US53033005400"
2019,"2019",4,"Asian",201103,128058,"Census Tract 56, King County, WA","14000US53033005600"
2019,"2019",4,"Asian",112647,37861,"Census Tract 57, King County, WA","14000US53033005700"
2019,"2019",4,"Asian",233462,191642,"Census Tract 58.01, King County, WA","14000US53033005801"
2019,"2019",4,"Asian",139338,66409,"Census Tract 58.02, King County, WA","14000US53033005802"
2019,"2019",4,"Asian",181447,138537,"Census Tract 59, King County, WA","14000US53033005900"
2019,"2019",4,"Asian",94853,57137.99999999999,"Census Tract 60, King County, WA","14000US53033006000"
2019,"2019",4,"Asian",86842,52785,"Census Tract 61, King County, WA","14000US53033006100"
2019,"2019",4,"Asian",250001,,"Census Tract 62, King County, WA","14000US53033006200"
2019,"2019",4,"Asian",218281,120380,"Census Tract 64, King County, WA","14000US53033006400"
2019,"2019",4,"Asian",141786,36795,"Census Tract 65, King County, WA","14000US53033006500"
2019,"2019",4,"Asian",151830,25993,"Census Tract 66, King County, WA","14000US53033006600"
2019,"2019",4,"Asian",154219,41998,"Census Tract 67, King County, WA","14000US53033006700"
2019,"2019",4,"Asian",98723,34767,"Census Tract 68, King County, WA","14000US53033006800"
2019,"2019",4,"Asian",207361,66370,"Census Tract 69, King County, WA","14000US53033006900"
2019,"2019",4,"Asian",125463,39347,"Census Tract 70, King County, WA","14000US53033007000"
2019,"2019",4,"Asian",141019,27868.000000000004,"Census Tract 71, King County, WA","14000US53033007100"
2019,"2019",4,"Asian",136507,28173,"Census Tract 72, King County, WA","14000US53033007200"
2019,"2019",4,"Asian",116250,44242,"Census Tract 73, King County, WA","14000US53033007300"
2019,"2019",4,"Asian",63542,27684,"Census Tract 74.01, King County, WA","14000US53033007401"
2019,"2019",4,"Asian",98882,32804,"Census Tract 74.02, King County, WA","14000US53033007402"
2019,"2019",4,"Asian",105018,25329,"Census Tract 75, King County, WA","14000US53033007500"
2019,"2019",4,"Asian",118906,54116.99999999999,"Census Tract 77, King County, WA","14000US53033007700"
