ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2019,"2019",9,"Hispanic",66941,36624,"Census Tract 1, King County, WA","14000US53033000100"
2019,"2019",9,"Hispanic",77500,18592,"Census Tract 2, King County, WA","14000US53033000200"
2019,"2019",9,"Hispanic",46580,8713,"Census Tract 4.02, King County, WA","14000US53033000402"
2019,"2019",9,"Hispanic",223824,74279,"Census Tract 5, King County, WA","14000US53033000500"
2019,"2019",9,"Hispanic",44381,6716,"Census Tract 6, King County, WA","14000US53033000600"
2019,"2019",9,"Hispanic",80255,10069,"Census Tract 7, King County, WA","14000US53033000700"
2019,"2019",9,"Hispanic",52240,30289,"Census Tract 11, King County, WA","14000US53033001100"
2019,"2019",9,"Hispanic",48611,43606,"Census Tract 13, King County, WA","14000US53033001300"
2019,"2019",9,"Hispanic",71392,25583,"Census Tract 17.01, King County, WA","14000US53033001701"
2019,"2019",9,"Hispanic",91528,42141,"Census Tract 17.02, King County, WA","14000US53033001702"
2019,"2019",9,"Hispanic",109286,58562.99999999999,"Census Tract 18, King County, WA","14000US53033001800"
2019,"2019",9,"Hispanic",114853,21180,"Census Tract 22, King County, WA","14000US53033002200"
2019,"2019",9,"Hispanic",211458,97316,"Census Tract 25, King County, WA","14000US53033002500"
2019,"2019",9,"Hispanic",103017,16999,"Census Tract 26, King County, WA","14000US53033002600"
2019,"2019",9,"Hispanic",250001,,"Census Tract 27, King County, WA","14000US53033002700"
2019,"2019",9,"Hispanic",183235,135398,"Census Tract 28, King County, WA","14000US53033002800"
2019,"2019",9,"Hispanic",65313,40589,"Census Tract 29, King County, WA","14000US53033002900"
2019,"2019",9,"Hispanic",56949,35876,"Census Tract 30, King County, WA","14000US53033003000"
2019,"2019",9,"Hispanic",128986,93817,"Census Tract 31, King County, WA","14000US53033003100"
2019,"2019",9,"Hispanic",138649,100821,"Census Tract 33, King County, WA","14000US53033003300"
2019,"2019",9,"Hispanic",136125,57709,"Census Tract 39, King County, WA","14000US53033003900"
2019,"2019",9,"Hispanic",13750,4984,"Census Tract 43.01, King County, WA","14000US53033004301"
2019,"2019",9,"Hispanic",44594,11746,"Census Tract 44, King County, WA","14000US53033004400"
2019,"2019",9,"Hispanic",97938,71463,"Census Tract 45, King County, WA","14000US53033004500"
2019,"2019",9,"Hispanic",88688,28871,"Census Tract 49, King County, WA","14000US53033004900"
2019,"2019",9,"Hispanic",101750,59131.99999999999,"Census Tract 50, King County, WA","14000US53033005000"
2019,"2019",9,"Hispanic",32011,22836,"Census Tract 51, King County, WA","14000US53033005100"
2019,"2019",9,"Hispanic",10383,10038,"Census Tract 52, King County, WA","14000US53033005200"
2019,"2019",9,"Hispanic",125809,88850,"Census Tract 54, King County, WA","14000US53033005400"
2019,"2019",9,"Hispanic",95775,35607,"Census Tract 58.01, King County, WA","14000US53033005801"
2019,"2019",9,"Hispanic",165500,21941,"Census Tract 64, King County, WA","14000US53033006400"
2019,"2019",9,"Hispanic",78833,45797,"Census Tract 65, King County, WA","14000US53033006500"
2019,"2019",9,"Hispanic",97365,73820,"Census Tract 67, King County, WA","14000US53033006700"
2019,"2019",9,"Hispanic",82833,41234,"Census Tract 69, King County, WA","14000US53033006900"
2019,"2019",9,"Hispanic",95174,48479,"Census Tract 70, King County, WA","14000US53033007000"
