ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2019,"2019",3,"Native American",34875,25414,"Census Tract 13, King County, WA","14000US53033001300"
2019,"2019",3,"Native American",9063,7246.999999999999,"Census Tract 92, King County, WA","14000US53033009200"
2019,"2019",3,"Native American",48333,14896.000000000002,"Census Tract 204.01, King County, WA","14000US53033020401"
2019,"2019",3,"Native American",73173,26306,"Census Tract 252, King County, WA","14000US53033025200"
2019,"2019",3,"Native American",79286,44099,"Census Tract 262, King County, WA","14000US53033026200"
2019,"2019",3,"Native American",21806,19286,"Census Tract 292.06, King County, WA","14000US53033029206"
2019,"2019",3,"Native American",131042,117701,"Census Tract 298.02, King County, WA","14000US53033029802"
2019,"2019",3,"Native American",46406,31914,"Census Tract 304.01, King County, WA","14000US53033030401"
2019,"2019",3,"Native American",73730,17054,"Census Tract 308.01, King County, WA","14000US53033030801"
2019,"2019",3,"Native American",103000,67286,"Census Tract 309.01, King County, WA","14000US53033030901"
2019,"2019",3,"Native American",50781,8840,"Census Tract 311, King County, WA","14000US53033031100"
2019,"2019",3,"Native American",55688,2843,"Census Tract 312.02, King County, WA","14000US53033031202"
2018,"2018",3,"Native American",10278,7567,"Census Tract 92, King County, WA","14000US53033009200"
2018,"2018",3,"Native American",64129,9858,"Census Tract 105, King County, WA","14000US53033010500"
2018,"2018",3,"Native American",48167,13674,"Census Tract 204.01, King County, WA","14000US53033020401"
2018,"2018",3,"Native American",73333,41420,"Census Tract 252, King County, WA","14000US53033025200"
2018,"2018",3,"Native American",77083,42812,"Census Tract 262, King County, WA","14000US53033026200"
2018,"2018",3,"Native American",56331,15175,"Census Tract 276, King County, WA","14000US53033027600"
2018,"2018",3,"Native American",128295,108538,"Census Tract 298.02, King County, WA","14000US53033029802"
2018,"2018",3,"Native American",46488,33732,"Census Tract 304.01, King County, WA","14000US53033030401"
2018,"2018",3,"Native American",73605,616,"Census Tract 308.01, King County, WA","14000US53033030801"
2018,"2018",3,"Native American",69706,68644,"Census Tract 309.01, King County, WA","14000US53033030901"
2018,"2018",3,"Native American",50000,11629,"Census Tract 311, King County, WA","14000US53033031100"
2018,"2018",3,"Native American",54000,1421,"Census Tract 312.02, King County, WA","14000US53033031202"
2017,"2017",3,"Native American",44250,24913,"Census Tract 6, King County, WA","14000US53033000600"
2017,"2017",3,"Native American",49226,16556,"Census Tract 114.02, King County, WA","14000US53033011402"
2017,"2017",3,"Native American",46518,619,"Census Tract 204.01, King County, WA","14000US53033020401"
2017,"2017",3,"Native American",71442,51920,"Census Tract 252, King County, WA","14000US53033025200"
2017,"2017",3,"Native American",28864,21359,"Census Tract 264, King County, WA","14000US53033026400"
2017,"2017",3,"Native American",55573,28068.000000000004,"Census Tract 276, King County, WA","14000US53033027600"
2017,"2017",3,"Native American",2499,,"Census Tract 292.06, King County, WA","14000US53033029206"
2017,"2017",3,"Native American",43807,15632,"Census Tract 304.01, King County, WA","14000US53033030401"
2017,"2017",3,"Native American",72692,2354,"Census Tract 308.01, King County, WA","14000US53033030801"
2017,"2017",3,"Native American",104167,25007,"Census Tract 309.01, King County, WA","14000US53033030901"
2017,"2017",3,"Native American",29890,23401,"Census Tract 311, King County, WA","14000US53033031100"
2017,"2017",3,"Native American",53805,1413,"Census Tract 312.02, King County, WA","14000US53033031202"
2017,"2017",3,"Native American",41765,12839,"Census Tract 316.05, King County, WA","14000US53033031605"
2016,"2016",3,"Native American",45515,32179,"Census Tract 6, King County, WA","14000US53033000600"
2016,"2016",3,"Native American",20000,7903,"Census Tract 120, King County, WA","14000US53033012000"
2016,"2016",3,"Native American",46250,1351,"Census Tract 204.01, King County, WA","14000US53033020401"
2016,"2016",3,"Native American",101429,82051,"Census Tract 217, King County, WA","14000US53033021700"
2016,"2016",3,"Native American",29196,16295,"Census Tract 264, King County, WA","14000US53033026400"
2016,"2016",3,"Native American",33409,11542,"Census Tract 276, King County, WA","14000US53033027600"
2016,"2016",3,"Native American",23095,13872,"Census Tract 302.02, King County, WA","14000US53033030202"
2016,"2016",3,"Native American",114167,50697,"Census Tract 303.06, King County, WA","14000US53033030306"
2016,"2016",3,"Native American",44390,20364,"Census Tract 304.01, King County, WA","14000US53033030401"
2016,"2016",3,"Native American",50714,49631,"Census Tract 306, King County, WA","14000US53033030600"
2016,"2016",3,"Native American",71205,811,"Census Tract 308.01, King County, WA","14000US53033030801"
2016,"2016",3,"Native American",29507,17824,"Census Tract 311, King County, WA","14000US53033031100"
2016,"2016",3,"Native American",50701,5570,"Census Tract 312.02, King County, WA","14000US53033031202"
2015,"2015",3,"Native American",101273,61532.99999999999,"Census Tract 70, King County, WA","14000US53033007000"
2015,"2015",3,"Native American",81484,57270,"Census Tract 110.02, King County, WA","14000US53033011002"
2015,"2015",3,"Native American",19250,17770,"Census Tract 120, King County, WA","14000US53033012000"
2015,"2015",3,"Native American",46667,6233,"Census Tract 204.01, King County, WA","14000US53033020401"
2015,"2015",3,"Native American",26641,25318,"Census Tract 267, King County, WA","14000US53033026700"
2015,"2015",3,"Native American",32768,11929,"Census Tract 276, King County, WA","14000US53033027600"
2015,"2015",3,"Native American",23315,11923,"Census Tract 302.02, King County, WA","14000US53033030202"
2015,"2015",3,"Native American",113494,53649,"Census Tract 303.06, King County, WA","14000US53033030306"
2015,"2015",3,"Native American",44082,10812,"Census Tract 304.01, King County, WA","14000US53033030401"
2015,"2015",3,"Native American",69612,1974.9999999999998,"Census Tract 308.01, King County, WA","14000US53033030801"
2015,"2015",3,"Native American",79167,54100,"Census Tract 309.01, King County, WA","14000US53033030901"
2015,"2015",3,"Native American",29767,20341,"Census Tract 311, King County, WA","14000US53033031100"
2015,"2015",3,"Native American",39219,18185,"Census Tract 312.02, King County, WA","14000US53033031202"
2014,"2014",3,"Native American",62857,30376,"Census Tract 4.02, King County, WA","14000US53033000402"
2014,"2014",3,"Native American",42885,89168,"Census Tract 6, King County, WA","14000US53033000600"
2014,"2014",3,"Native American",22422,50754,"Census Tract 12, King County, WA","14000US53033001200"
2014,"2014",3,"Native American",63897,59108.00000000001,"Census Tract 52, King County, WA","14000US53033005200"
2014,"2014",3,"Native American",37045,57314.00000000001,"Census Tract 67, King County, WA","14000US53033006700"
2014,"2014",3,"Native American",43438,85939,"Census Tract 70, King County, WA","14000US53033007000"
2014,"2014",3,"Native American",12950,3245,"Census Tract 72, King County, WA","14000US53033007200"
2014,"2014",3,"Native American",8185,8191.000000000001,"Census Tract 73, King County, WA","14000US53033007300"
2014,"2014",3,"Native American",75917,97951,"Census Tract 75, King County, WA","14000US53033007500"
2014,"2014",3,"Native American",83958,30670.000000000004,"Census Tract 83, King County, WA","14000US53033008300"
2014,"2014",3,"Native American",12000,28131,"Census Tract 92, King County, WA","14000US53033009200"
2014,"2014",3,"Native American",31797,86100,"Census Tract 105, King County, WA","14000US53033010500"
2014,"2014",3,"Native American",82143,64807,"Census Tract 110.02, King County, WA","14000US53033011002"
2014,"2014",3,"Native American",16172,42575,"Census Tract 118, King County, WA","14000US53033011800"
2014,"2014",3,"Native American",19095,11201,"Census Tract 120, King County, WA","14000US53033012000"
2014,"2014",3,"Native American",97813,55066,"Census Tract 205, King County, WA","14000US53033020500"
2014,"2014",3,"Native American",18611,30715,"Census Tract 213, King County, WA","14000US53033021300"
2014,"2014",3,"Native American",74250,150706,"Census Tract 222.02, King County, WA","14000US53033022202"
2014,"2014",3,"Native American",25167,11911,"Census Tract 267, King County, WA","14000US53033026700"
2014,"2014",3,"Native American",9934,133686,"Census Tract 268.02, King County, WA","14000US53033026802"
2014,"2014",3,"Native American",11023,23124,"Census Tract 279, King County, WA","14000US53033027900"
2014,"2014",3,"Native American",21759,32905,"Census Tract 282, King County, WA","14000US53033028200"
2014,"2014",3,"Native American",92543,118782,"Census Tract 284.03, King County, WA","14000US53033028403"
2014,"2014",3,"Native American",23950,56726,"Census Tract 289.02, King County, WA","14000US53033028902"
2014,"2014",3,"Native American",11939,72671,"Census Tract 293.03, King County, WA","14000US53033029303"
2014,"2014",3,"Native American",23864,20984,"Census Tract 302.02, King County, WA","14000US53033030202"
2014,"2014",3,"Native American",114318,60585.99999999999,"Census Tract 303.06, King County, WA","14000US53033030306"
2014,"2014",3,"Native American",53382,18895,"Census Tract 304.01, King County, WA","14000US53033030401"
2014,"2014",3,"Native American",111136,58049,"Census Tract 304.04, King County, WA","14000US53033030404"
2014,"2014",3,"Native American",70800,32334,"Census Tract 308.01, King County, WA","14000US53033030801"
2014,"2014",3,"Native American",72446,22952,"Census Tract 308.02, King County, WA","14000US53033030802"
2014,"2014",3,"Native American",64583,49466,"Census Tract 309.01, King County, WA","14000US53033030901"
2014,"2014",3,"Native American",29659,31534,"Census Tract 311, King County, WA","14000US53033031100"
2014,"2014",3,"Native American",41250,23914,"Census Tract 312.02, King County, WA","14000US53033031202"
2014,"2014",3,"Native American",86250,193684,"Census Tract 313.01, King County, WA","14000US53033031301"
2014,"2014",3,"Native American",83750,108343,"Census Tract 317.03, King County, WA","14000US53033031703"
2013,"2013",3,"Native American",250001,,"Census Tract 3, King County, WA","14000US53033000300"
2013,"2013",3,"Native American",60987,29308,"Census Tract 4.02, King County, WA","14000US53033000402"
2013,"2013",3,"Native American",39750,21044,"Census Tract 12, King County, WA","14000US53033001200"
2013,"2013",3,"Native American",11771,3656.9999999999995,"Census Tract 17.02, King County, WA","14000US53033001702"
2013,"2013",3,"Native American",61797,28683,"Census Tract 52, King County, WA","14000US53033005200"
2013,"2013",3,"Native American",34527,48073,"Census Tract 67, King County, WA","14000US53033006700"
2013,"2013",3,"Native American",41604,60472,"Census Tract 70, King County, WA","14000US53033007000"
2013,"2013",3,"Native American",13488,1566,"Census Tract 72, King County, WA","14000US53033007200"
2013,"2013",3,"Native American",8396,6041,"Census Tract 73, King County, WA","14000US53033007300"
2013,"2013",3,"Native American",34076,49843,"Census Tract 75, King County, WA","14000US53033007500"
2013,"2013",3,"Native American",83667,16716,"Census Tract 83, King County, WA","14000US53033008300"
2013,"2013",3,"Native American",10417,2162,"Census Tract 86, King County, WA","14000US53033008600"
2013,"2013",3,"Native American",2499,,"Census Tract 92, King County, WA","14000US53033009200"
2013,"2013",3,"Native American",28875,166243,"Census Tract 95, King County, WA","14000US53033009500"
2013,"2013",3,"Native American",45197,45512,"Census Tract 114.02, King County, WA","14000US53033011402"
2013,"2013",3,"Native American",13672,50234,"Census Tract 118, King County, WA","14000US53033011800"
2013,"2013",3,"Native American",19737,59604.00000000001,"Census Tract 120, King County, WA","14000US53033012000"
2013,"2013",3,"Native American",98214,70685,"Census Tract 205, King County, WA","14000US53033020500"
2013,"2013",3,"Native American",16250,95650,"Census Tract 213, King County, WA","14000US53033021300"
2013,"2013",3,"Native American",73864,120370,"Census Tract 222.02, King County, WA","14000US53033022202"
2013,"2013",3,"Native American",56346,52589,"Census Tract 253.02, King County, WA","14000US53033025302"
2013,"2013",3,"Native American",55375,53364,"Census Tract 264, King County, WA","14000US53033026400"
2013,"2013",3,"Native American",67813,129238.00000000001,"Census Tract 268.02, King County, WA","14000US53033026802"
2013,"2013",3,"Native American",18894,10786,"Census Tract 279, King County, WA","14000US53033027900"
2013,"2013",3,"Native American",29954,96900,"Census Tract 284.02, King County, WA","14000US53033028402"
2013,"2013",3,"Native American",90417,98265,"Census Tract 284.03, King County, WA","14000US53033028403"
2013,"2013",3,"Native American",23690,46436,"Census Tract 289.02, King County, WA","14000US53033028902"
2013,"2013",3,"Native American",80795,82596,"Census Tract 290.03, King County, WA","14000US53033029003"
2013,"2013",3,"Native American",72188,168806,"Census Tract 298.02, King County, WA","14000US53033029802"
2013,"2013",3,"Native American",24408,29271,"Census Tract 299.01, King County, WA","14000US53033029901"
2013,"2013",3,"Native American",42976,43488,"Census Tract 300.04, King County, WA","14000US53033030004"
2013,"2013",3,"Native American",111827,60639,"Census Tract 303.06, King County, WA","14000US53033030306"
2013,"2013",3,"Native American",37270,66549,"Census Tract 303.12, King County, WA","14000US53033030312"
2013,"2013",3,"Native American",53409,30940.999999999996,"Census Tract 304.01, King County, WA","14000US53033030401"
2013,"2013",3,"Native American",108295,50130,"Census Tract 304.04, King County, WA","14000US53033030404"
2013,"2013",3,"Native American",69333,55012.99999999999,"Census Tract 308.02, King County, WA","14000US53033030802"
2013,"2013",3,"Native American",64167,49010,"Census Tract 309.01, King County, WA","14000US53033030901"
2013,"2013",3,"Native American",26591,26503,"Census Tract 309.02, King County, WA","14000US53033030902"
2013,"2013",3,"Native American",29919,20818,"Census Tract 311, King County, WA","14000US53033031100"
2013,"2013",3,"Native American",27083,7853,"Census Tract 312.02, King County, WA","14000US53033031202"
