ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2019,"2019",8,"White Non-Hispanic",58381,8778,"Census Tract 1, King County, WA","14000US53033000100"
2019,"2019",8,"White Non-Hispanic",86179,16491,"Census Tract 2, King County, WA","14000US53033000200"
2019,"2019",8,"White Non-Hispanic",103073,6373,"Census Tract 3, King County, WA","14000US53033000300"
2019,"2019",8,"White Non-Hispanic",34345,6040,"Census Tract 4.01, King County, WA","14000US53033000401"
2019,"2019",8,"White Non-Hispanic",77759,10490,"Census Tract 4.02, King County, WA","14000US53033000402"
2019,"2019",8,"White Non-Hispanic",147969,19618,"Census Tract 5, King County, WA","14000US53033000500"
2019,"2019",8,"White Non-Hispanic",83644,6750.999999999999,"Census Tract 6, King County, WA","14000US53033000600"
2019,"2019",8,"White Non-Hispanic",69844,30391.000000000004,"Census Tract 7, King County, WA","14000US53033000700"
2019,"2019",8,"White Non-Hispanic",103219,16404,"Census Tract 8, King County, WA","14000US53033000800"
2019,"2019",8,"White Non-Hispanic",140972,23934,"Census Tract 9, King County, WA","14000US53033000900"
2019,"2019",8,"White Non-Hispanic",111154,12609,"Census Tract 10, King County, WA","14000US53033001000"
2019,"2019",8,"White Non-Hispanic",103839,10195,"Census Tract 11, King County, WA","14000US53033001100"
2019,"2019",8,"White Non-Hispanic",48868,10626,"Census Tract 12, King County, WA","14000US53033001200"
2019,"2019",8,"White Non-Hispanic",81317,10710,"Census Tract 13, King County, WA","14000US53033001300"
2019,"2019",8,"White Non-Hispanic",95737,9572,"Census Tract 14, King County, WA","14000US53033001400"
2019,"2019",8,"White Non-Hispanic",128684,13807,"Census Tract 15, King County, WA","14000US53033001500"
2019,"2019",8,"White Non-Hispanic",142545,18764,"Census Tract 16, King County, WA","14000US53033001600"
2019,"2019",8,"White Non-Hispanic",76824,12963,"Census Tract 17.01, King County, WA","14000US53033001701"
2019,"2019",8,"White Non-Hispanic",113004,20490,"Census Tract 17.02, King County, WA","14000US53033001702"
2019,"2019",8,"White Non-Hispanic",97900,16568,"Census Tract 18, King County, WA","14000US53033001800"
2019,"2019",8,"White Non-Hispanic",91319,24931,"Census Tract 19, King County, WA","14000US53033001900"
