ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2019,"2019",5,"Pacific Islander",38693,18948,"Census Tract 111.01, King County, WA","14000US53033011101"
2019,"2019",5,"Pacific Islander",56652,26402,"Census Tract 263, King County, WA","14000US53033026300"
2019,"2019",5,"Pacific Islander",166212,4326,"Census Tract 267, King County, WA","14000US53033026700"
2019,"2019",5,"Pacific Islander",133245,49134,"Census Tract 280, King County, WA","14000US53033028000"
2019,"2019",5,"Pacific Islander",122917,98997,"Census Tract 282, King County, WA","14000US53033028200"
2019,"2019",5,"Pacific Islander",87917,44606,"Census Tract 288.02, King County, WA","14000US53033028802"
2019,"2019",5,"Pacific Islander",106069,1893,"Census Tract 289.02, King County, WA","14000US53033028902"
2019,"2019",5,"Pacific Islander",173255,94970,"Census Tract 291.02, King County, WA","14000US53033029102"
2019,"2019",5,"Pacific Islander",53345,13293,"Census Tract 292.03, King County, WA","14000US53033029203"
2019,"2019",5,"Pacific Islander",50185,28379.999999999996,"Census Tract 292.06, King County, WA","14000US53033029206"
2019,"2019",5,"Pacific Islander",85737,37658,"Census Tract 293.03, King County, WA","14000US53033029303"
2019,"2019",5,"Pacific Islander",110685,64709,"Census Tract 295.03, King County, WA","14000US53033029503"
2019,"2019",5,"Pacific Islander",2499,,"Census Tract 300.06, King County, WA","14000US53033030006"
2019,"2019",5,"Pacific Islander",103396,25770,"Census Tract 303.08, King County, WA","14000US53033030308"
2019,"2019",5,"Pacific Islander",113672,63584,"Census Tract 303.10, King County, WA","14000US53033030310"
2019,"2019",5,"Pacific Islander",34464,8985,"Census Tract 305.01, King County, WA","14000US53033030501"
2019,"2019",5,"Pacific Islander",41813,21814,"Census Tract 309.02, King County, WA","14000US53033030902"
2019,"2019",5,"Pacific Islander",85820,17968,"Census Tract 311, King County, WA","14000US53033031100"
2019,"2019",5,"Pacific Islander",64667,60819,"Census Tract 317.04, King County, WA","14000US53033031704"
2018,"2018",5,"Pacific Islander",53664,1905.0000000000002,"Census Tract 263, King County, WA","14000US53033026300"
2018,"2018",5,"Pacific Islander",130788,55265,"Census Tract 280, King County, WA","14000US53033028000"
2018,"2018",5,"Pacific Islander",53326,6920.000000000001,"Census Tract 284.03, King County, WA","14000US53033028403"
2018,"2018",5,"Pacific Islander",64435,49312,"Census Tract 288.02, King County, WA","14000US53033028802"
2018,"2018",5,"Pacific Islander",103363,67004,"Census Tract 289.02, King County, WA","14000US53033028902"
2018,"2018",5,"Pacific Islander",170613,104468,"Census Tract 291.02, King County, WA","14000US53033029102"
2018,"2018",5,"Pacific Islander",50714,28176,"Census Tract 292.03, King County, WA","14000US53033029203"
2018,"2018",5,"Pacific Islander",32961,11075,"Census Tract 292.06, King County, WA","14000US53033029206"
2018,"2018",5,"Pacific Islander",82868,6909,"Census Tract 293.03, King County, WA","14000US53033029303"
2018,"2018",5,"Pacific Islander",20898,13782,"Census Tract 300.04, King County, WA","14000US53033030004"
2018,"2018",5,"Pacific Islander",100085,64601.00000000001,"Census Tract 303.08, King County, WA","14000US53033030308"
2018,"2018",5,"Pacific Islander",34688,33205,"Census Tract 305.01, King County, WA","14000US53033030501"
2018,"2018",5,"Pacific Islander",45313,42465,"Census Tract 308.02, King County, WA","14000US53033030802"
2018,"2018",5,"Pacific Islander",56146,14104.000000000002,"Census Tract 309.02, King County, WA","14000US53033030902"
2018,"2018",5,"Pacific Islander",83976,5806,"Census Tract 311, King County, WA","14000US53033031100"
2018,"2018",5,"Pacific Islander",101083,49564,"Census Tract 317.04, King County, WA","14000US53033031704"
2017,"2017",5,"Pacific Islander",40917,36224,"Census Tract 258.03, King County, WA","14000US53033025803"
2017,"2017",5,"Pacific Islander",50750,3634,"Census Tract 263, King County, WA","14000US53033026300"
2017,"2017",5,"Pacific Islander",53352,24051,"Census Tract 268.01, King County, WA","14000US53033026801"
2017,"2017",5,"Pacific Islander",93611,29096.999999999996,"Census Tract 268.02, King County, WA","14000US53033026802"
2017,"2017",5,"Pacific Islander",25417,5375,"Census Tract 272, King County, WA","14000US53033027200"
2017,"2017",5,"Pacific Islander",84125,67333,"Census Tract 282, King County, WA","14000US53033028200"
2017,"2017",5,"Pacific Islander",50594,5966,"Census Tract 284.03, King County, WA","14000US53033028403"
2017,"2017",5,"Pacific Islander",18098,11864,"Census Tract 300.04, King County, WA","14000US53033030004"
2017,"2017",5,"Pacific Islander",41289,13304,"Census Tract 300.05, King County, WA","14000US53033030005"
2017,"2017",5,"Pacific Islander",98682,17757,"Census Tract 303.08, King County, WA","14000US53033030308"
2017,"2017",5,"Pacific Islander",46176,21129,"Census Tract 308.02, King County, WA","14000US53033030802"
2017,"2017",5,"Pacific Islander",81610,20663,"Census Tract 311, King County, WA","14000US53033031100"
2017,"2017",5,"Pacific Islander",61413,46266,"Census Tract 317.04, King County, WA","14000US53033031704"
2016,"2016",5,"Pacific Islander",29524,8615,"Census Tract 258.03, King County, WA","14000US53033025803"
