Area Name,Area ID,Year,Age Group,Total,Male,Female,White Total,White Male,White Female,Black Total,Black Male,Black Female,AIAN Total,AIAN Male,AIAN Female,Asian Total,Asian Male,Asian Female,NHOPI Total,NHOPI Male,NHOPI Female,Two or More Races Total,Two or More Races Male,Two or More Races Female
Washington,53,2010,0-4,"439,657","225,088","214,569","330,767","169,310","161,457","20,206","10,407","9,799","10,593","5,522","5,071","29,772","15,230","14,542","4,014","2,046","1,968","44,305","22,573","21,732"
Washington,53,2010,5-9,"429,877","219,702","210,175","328,738","168,464","160,274","18,980","9,757","9,223","10,190","5,232","4,958","30,321","15,076","15,245","3,754","1,869","1,885","37,894","19,304","18,590"
Washington,53,2010,10-14,"438,233","224,717","213,516","341,109","175,465","165,644","19,289","9,929","9,360","10,439","5,413","5,026","28,676","14,330","14,346","3,835","1,954","1,881","34,885","17,626","17,259"
Washington,53,2010,15-19,"462,128","237,577","224,551","362,275","186,516","175,759","20,541","10,806","9,735","11,025","5,741","5,284","33,549","17,001","16,548","4,153","2,114","2,039","30,585","15,399","15,186"
Washington,53,2010,20-24,"461,512","238,131","223,381","365,196","188,806","176,390","21,312","11,743","9,569","10,502","5,489","5,013","36,759","18,425","18,334","4,361","2,231","2,130","23,382","11,437","11,945"
Washington,53,2010,25-29,"480,398","245,014","235,384","382,519","196,579","185,940","21,271","11,636","9,635","9,665","5,000","4,665","41,552","19,575","21,977","4,148","2,084","2,064","21,243","10,140","11,103"
Washington,53,2010,30-34,"453,383","229,863","223,520","361,019","184,376","176,643","19,617","10,705","8,912","8,843","4,530","4,313","42,240","19,613","22,627","3,688","1,865","1,823","17,976","8,774","9,202"
Washington,53,2010,35-39,"448,607","226,850","221,757","359,195","183,183","176,012","18,860","10,511","8,349","8,391","4,298","4,093","44,488","20,385","24,103","3,269","1,652","1,617","14,404","6,821","7,583"
Washington,53,2010,40-44,"459,698","232,587","227,111","378,837","193,018","185,819","18,680","10,529","8,151","8,196","4,161","4,035","39,042","17,635","21,407","2,837","1,445","1,392","12,106","5,799","6,307"
Washington,53,2010,45-49,"492,909","246,507","246,402","415,812","209,115","206,697","18,810","10,633","8,177","8,347","4,144","4,203","36,075","15,929","20,146","2,716","1,357","1,359","11,149","5,329","5,820"
Washington,53,2010,50-54,"495,296","245,997","249,299","425,246","212,340","212,906","17,353","9,849","7,504","7,837","3,783","4,054","32,654","14,139","18,515","2,305","1,152","1,153","9,901","4,734","5,167"
Washington,53,2010,55-59,"453,078","221,321","231,757","395,896","194,556","201,340","13,116","7,268","5,848","6,430","3,145","3,285","28,438","11,993","16,445","1,643",811,832,"7,555","3,548","4,007"
Washington,53,2010,60-64,"382,087","186,378","195,709","339,071","166,514","172,557","9,284","4,875","4,409","4,696","2,307","2,389","22,645","9,634","13,011","1,177",595,582,"5,214","2,453","2,761"
Washington,53,2010,65-69,"270,474","131,064","139,410","242,526","118,326","124,200","5,451","2,904","2,547","3,116","1,494","1,622","15,362","6,493","8,869",681,331,350,"3,338","1,516","1,822"
Washington,53,2010,70-74,"186,746","88,760","97,986","166,764","79,734","87,030","3,692","1,835","1,857","1,979",951,"1,028","11,726","5,038","6,688",446,202,244,"2,139","1,000","1,139"
Washington,53,2010,75-79,"142,068","64,325","77,743","128,290","58,723","69,567","2,556","1,189","1,367","1,206",522,684,"8,328","3,150","5,178",262,116,146,"1,426",625,801
Washington,53,2010,80-84,"111,118","45,743","65,375","102,085","42,446","59,639","1,754",710,"1,044",672,290,382,"5,603","1,888","3,715",136,57,79,868,352,516
Washington,53,2010,85+,"117,271","40,083","77,188","109,917","37,591","72,326","1,561",512,"1,049",522,166,356,"4,455","1,532","2,923",80,30,50,736,252,484
Washington,53,2010,Total,"6,724,540","3,349,707","3,374,833","5,535,262","2,765,062","2,770,200","252,333","135,798","116,535","122,649","62,188","60,461","491,685","227,066","264,619","43,505","21,911","21,594","279,106","137,682","141,424"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Adams,53001,2010,0-4,"2,015","1,071",944,"1,821",965,856,26,19,7,131,68,63,15,7,8,0,0,0,22,12,10
Adams,53001,2010,5-9,"1,811",924,887,"1,638",841,797,27,15,12,95,42,53,17,8,9,1,0,1,33,18,15
Adams,53001,2010,10-14,"1,647",831,816,"1,497",765,732,30,14,16,73,29,44,16,6,10,2,2,0,29,15,14
Adams,53001,2010,15-19,"1,649",907,742,"1,516",842,674,16,6,10,76,37,39,19,9,10,0,0,0,22,13,9
Adams,53001,2010,20-24,"1,261",664,597,"1,128",603,525,24,13,11,84,35,49,14,6,8,0,0,0,11,7,4
Adams,53001,2010,25-29,"1,242",612,630,"1,135",554,581,16,11,5,64,33,31,8,5,3,0,0,0,19,9,10
Adams,53001,2010,30-34,"1,256",627,629,"1,132",561,571,16,10,6,73,40,33,22,9,13,1,1,0,12,6,6
Adams,53001,2010,35-39,"1,144",587,557,"1,054",535,519,16,11,5,45,26,19,19,11,8,0,0,0,10,4,6
Adams,53001,2010,40-44,"1,055",553,502,984,515,469,10,6,4,37,19,18,12,6,6,0,0,0,12,7,5
Adams,53001,2010,45-49,"1,037",520,517,980,485,495,8,6,2,30,21,9,11,3,8,1,1,0,7,4,3
Adams,53001,2010,50-54,"1,003",488,515,964,468,496,10,6,4,11,2,9,7,4,3,0,0,0,11,8,3
Adams,53001,2010,55-59,957,489,468,927,473,454,6,3,3,9,8,1,7,3,4,0,0,0,8,2,6
Adams,53001,2010,60-64,736,345,391,715,333,382,0,0,0,9,5,4,7,3,4,2,1,1,3,3,0
Adams,53001,2010,65-69,599,328,271,588,320,268,1,1,0,3,2,1,3,3,0,0,0,0,4,2,2
Adams,53001,2010,70-74,449,220,229,437,213,224,1,1,0,5,2,3,3,1,2,0,0,0,3,3,0
Adams,53001,2010,75-79,336,157,179,336,157,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
